Variable 1,Variable 2,Median[IQR] (V1),Median[IQR] (V2),Spearman corr.,P value
Ventilator-free days,MMI, 6.5 [ 0.75- 21], 0.31 [-0.24- 1.3],-0.30218338648269644,0.029459252504882554
MMI,Ventilator-free days, 0.31 [-0.24- 1.3], 6.5 [ 0.75- 21],-0.30218338648269644,0.029459252504882554
Age,PF ratio, 67 [ 54- 76], 1.6e+02 [ 1.2e+02- 2.2e+02],0.2694566207185735,0.05339146268523229
PF ratio,Age, 1.6e+02 [ 1.2e+02- 2.2e+02], 67 [ 54- 76],0.2694566207185735,0.05339146268523229
Death-free days,APACHE II score, 24 [ 11- 3.6e+02], 27 [ 21- 32],-0.2501269048019037,0.07371282776385395
APACHE II score,Death-free days, 27 [ 21- 32], 24 [ 11- 3.6e+02],-0.2501269048019037,0.07371282776385395
ICU-free days,APACHE II score, 5 [ 0- 19], 27 [ 21- 32],-0.24917675629835404,0.07485121892487931
APACHE II score,ICU-free days, 27 [ 21- 32], 5 [ 0- 19],-0.24917675629835404,0.07485121892487931
Chao1 (R),PF ratio, 1e+02 [ 76- 1.3e+02], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.24679735446558487,0.08082651203401886
PF ratio,Chao1 (R), 1.6e+02 [ 1.2e+02- 2.2e+02], 1e+02 [ 76- 1.3e+02],-0.24679735446558487,0.08082651203401886
Age,Death-free days, 67 [ 54- 76], 24 [ 11- 3.6e+02],-0.24333434650834448,0.08216021090925711
Death-free days,Age, 24 [ 11- 3.6e+02], 67 [ 54- 76],-0.24333434650834448,0.08216021090925711
APACHE II score,Simpson (E), 27 [ 21- 32], 0.28 [ 0.24- 0.4],0.24446355887839263,0.0838309875030666
Simpson (E),APACHE II score, 0.28 [ 0.24- 0.4], 27 [ 21- 32],0.24446355887839263,0.0838309875030666
PF ratio,ACE (R), 1.6e+02 [ 1.2e+02- 2.2e+02], 1e+02 [ 76- 1.3e+02],-0.24353259843085867,0.085053649612896
ACE (R),PF ratio, 1e+02 [ 76- 1.3e+02], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.24353259843085867,0.085053649612896
PF ratio,Fisher (D), 1.6e+02 [ 1.2e+02- 2.2e+02], 17 [ 11- 23],-0.23393614659678022,0.09848638834449751
Fisher (D),PF ratio, 17 [ 11- 23], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.23393614659678022,0.09848638834449751
APACHE II score,Ventilator-free days, 27 [ 21- 32], 6.5 [ 0.75- 21],-0.20959683404777985,0.13588185206791414
Ventilator-free days,APACHE II score, 6.5 [ 0.75- 21], 27 [ 21- 32],-0.20959683404777985,0.13588185206791414
Ventilator-free days,Simpson (D), 6.5 [ 0.75- 21], 32 [ 17- 49],-0.2070079302807743,0.14497202783360935
Ventilator-free days,Dominance, 6.5 [ 0.75- 21], 0.032 [ 0.021- 0.06],0.2070079302807743,0.14497202783360935
Simpson (D),Ventilator-free days, 32 [ 17- 49], 6.5 [ 0.75- 21],-0.2070079302807743,0.14497202783360935
Dominance,Ventilator-free days, 0.032 [ 0.021- 0.06], 6.5 [ 0.75- 21],0.2070079302807743,0.14497202783360935
PF ratio,Ventilator-free days, 1.6e+02 [ 1.2e+02- 2.2e+02], 6.5 [ 0.75- 21],0.19389092705842215,0.16842273394514576
Ventilator-free days,PF ratio, 6.5 [ 0.75- 21], 1.6e+02 [ 1.2e+02- 2.2e+02],0.19389092705842215,0.16842273394514576
ICU-free days,PF ratio, 5 [ 0- 19], 1.6e+02 [ 1.2e+02- 2.2e+02],0.17742758377355028,0.2082622102355307
PF ratio,ICU-free days, 1.6e+02 [ 1.2e+02- 2.2e+02], 5 [ 0- 19],0.17742758377355028,0.2082622102355307
Pielou (E),APACHE II score, 0.84 [ 0.77- 0.89], 27 [ 21- 32],0.17178642889284676,0.22805980625533268
APACHE II score,Pielou (E), 27 [ 21- 32], 0.84 [ 0.77- 0.89],0.17178642889284676,0.22805980625533268
Ventilator-free days,Shannon (D), 6.5 [ 0.75- 21], 5.8 [ 4.7- 6.2],-0.16285477049909447,0.2535264981311876
Shannon (D),Ventilator-free days, 5.8 [ 4.7- 6.2], 6.5 [ 0.75- 21],-0.16285477049909447,0.2535264981311876
Age,APACHE II score, 67 [ 54- 76], 27 [ 21- 32],-0.15917048477792586,0.25970165255807864
APACHE II score,Age, 27 [ 21- 32], 67 [ 54- 76],-0.15917048477792586,0.25970165255807864
Shannon (D),PF ratio, 5.8 [ 4.7- 6.2], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.1577529935932235,0.2689028959316633
PF ratio,Shannon (D), 1.6e+02 [ 1.2e+02- 2.2e+02], 5.8 [ 4.7- 6.2],-0.1577529935932235,0.2689028959316633
APACHE II score,PF ratio, 27 [ 21- 32], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.15372952469879028,0.2765531262803839
PF ratio,APACHE II score, 1.6e+02 [ 1.2e+02- 2.2e+02], 27 [ 21- 32],-0.15372952469879028,0.2765531262803839
Ventilator-free days,ACE (R), 6.5 [ 0.75- 21], 1e+02 [ 76- 1.3e+02],-0.15257064943193302,0.2851447542343542
ACE (R),Ventilator-free days, 1e+02 [ 76- 1.3e+02], 6.5 [ 0.75- 21],-0.15257064943193302,0.2851447542343542
Ventilator-free days,Fisher (D), 6.5 [ 0.75- 21], 17 [ 11- 23],-0.15257064943193302,0.2851447542343542
Fisher (D),Ventilator-free days, 17 [ 11- 23], 6.5 [ 0.75- 21],-0.15257064943193302,0.2851447542343542
Chao1 (R),Ventilator-free days, 1e+02 [ 76- 1.3e+02], 6.5 [ 0.75- 21],-0.15213987310439053,0.28652317057044385
Ventilator-free days,Chao1 (R), 6.5 [ 0.75- 21], 1e+02 [ 76- 1.3e+02],-0.15213987310439053,0.28652317057044385
Pielou (E),MMI, 0.84 [ 0.77- 0.89], 0.31 [-0.24- 1.3],-0.15176470588235294,0.28772719320553464
MMI,Pielou (E), 0.31 [-0.24- 1.3], 0.84 [ 0.77- 0.89],-0.15176470588235294,0.28772719320553464
Dominance,APACHE II score, 0.032 [ 0.021- 0.06], 27 [ 21- 32],-0.14780252261564542,0.3006447012163713
Simpson (D),APACHE II score, 32 [ 17- 49], 27 [ 21- 32],0.14780252261564542,0.3006447012163713
APACHE II score,Dominance, 27 [ 21- 32], 0.032 [ 0.021- 0.06],-0.14780252261564542,0.3006447012163713
APACHE II score,Simpson (D), 27 [ 21- 32], 32 [ 17- 49],0.14780252261564542,0.3006447012163713
MMI,APACHE II score, 0.31 [-0.24- 1.3], 27 [ 21- 32],-0.1421027547520209,0.3149358954363088
APACHE II score,MMI, 27 [ 21- 32], 0.31 [-0.24- 1.3],-0.1421027547520209,0.3149358954363088
Ventilator-free days,Pielou (E), 6.5 [ 0.75- 21], 0.84 [ 0.77- 0.89],-0.14246935718374332,0.31861387818770653
Pielou (E),Ventilator-free days, 0.84 [ 0.77- 0.89], 6.5 [ 0.75- 21],-0.14246935718374332,0.31861387818770653
Simpson (E),Ventilator-free days, 0.28 [ 0.24- 0.4], 6.5 [ 0.75- 21],-0.13177387127389542,0.3566579678371593
Ventilator-free days,Simpson (E), 6.5 [ 0.75- 21], 0.28 [ 0.24- 0.4],-0.13177387127389542,0.3566579678371593
Age,Chao1 (R), 67 [ 54- 76], 1e+02 [ 76- 1.3e+02],-0.1264281997653842,0.3766695993399567
Chao1 (R),Age, 1e+02 [ 76- 1.3e+02], 67 [ 54- 76],-0.1264281997653842,0.3766695993399567
Age,ACE (R), 67 [ 54- 76], 1e+02 [ 76- 1.3e+02],-0.12190045248868778,0.39413310859616246
ACE (R),Age, 1e+02 [ 76- 1.3e+02], 67 [ 54- 76],-0.12190045248868778,0.39413310859616246
Simpson (D),PF ratio, 32 [ 17- 49], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.11886925715231132,0.40608514794877726
Dominance,PF ratio, 0.032 [ 0.021- 0.06], 1.6e+02 [ 1.2e+02- 2.2e+02],0.11886925715231132,0.40608514794877726
PF ratio,Simpson (D), 1.6e+02 [ 1.2e+02- 2.2e+02], 32 [ 17- 49],-0.11886925715231132,0.40608514794877726
PF ratio,Dominance, 1.6e+02 [ 1.2e+02- 2.2e+02], 0.032 [ 0.021- 0.06],0.11886925715231132,0.40608514794877726
Simpson (E),PF ratio, 0.28 [ 0.24- 0.4], 1.6e+02 [ 1.2e+02- 2.2e+02],0.11348256956620124,0.427834629482698
PF ratio,Simpson (E), 1.6e+02 [ 1.2e+02- 2.2e+02], 0.28 [ 0.24- 0.4],0.11348256956620124,0.427834629482698
Dominance,Age, 0.032 [ 0.021- 0.06], 67 [ 54- 76],0.11339366515837106,0.4281990153672772
Age,Simpson (D), 67 [ 54- 76], 32 [ 17- 49],-0.11339366515837106,0.4281990153672772
Age,Dominance, 67 [ 54- 76], 0.032 [ 0.021- 0.06],0.11339366515837106,0.4281990153672772
Simpson (D),Age, 32 [ 17- 49], 67 [ 54- 76],-0.11339366515837106,0.4281990153672772
Simpson (E),MMI, 0.28 [ 0.24- 0.4], 0.31 [-0.24- 1.3],-0.1118552036199095,0.43453225094894155
MMI,Simpson (E), 0.31 [-0.24- 1.3], 0.28 [ 0.24- 0.4],-0.1118552036199095,0.43453225094894155
Simpson (E),Death-free days, 0.28 [ 0.24- 0.4], 24 [ 11- 3.6e+02],-0.11164089396453078,0.43541861885091027
Death-free days,Simpson (E), 24 [ 11- 3.6e+02], 0.28 [ 0.24- 0.4],-0.11164089396453078,0.43541861885091027
Age,Fisher (D), 67 [ 54- 76], 17 [ 11- 23],-0.10787330316742082,0.45116523642260364
Fisher (D),Age, 17 [ 11- 23], 67 [ 54- 76],-0.10787330316742082,0.45116523642260364
ICU-free days,Simpson (D), 5 [ 0- 19], 32 [ 17- 49],-0.09425852708169451,0.5105896733615405
ICU-free days,Dominance, 5 [ 0- 19], 0.032 [ 0.021- 0.06],0.09425852708169451,0.5105896733615405
Dominance,ICU-free days, 0.032 [ 0.021- 0.06], 5 [ 0- 19],0.09425852708169451,0.5105896733615405
Simpson (D),ICU-free days, 32 [ 17- 49], 5 [ 0- 19],-0.09425852708169451,0.5105896733615405
APACHE II score,Shannon (D), 27 [ 21- 32], 5.8 [ 4.7- 6.2],0.09289796590167407,0.5167382398231901
Shannon (D),APACHE II score, 5.8 [ 4.7- 6.2], 27 [ 21- 32],0.09289796590167407,0.5167382398231901
Shannon (D),MMI, 5.8 [ 4.7- 6.2], 0.31 [-0.24- 1.3],-0.09040723981900453,0.5280896878224435
MMI,Shannon (D), 0.31 [-0.24- 1.3], 5.8 [ 4.7- 6.2],-0.09040723981900453,0.5280896878224435
MMI,PF ratio, 0.31 [-0.24- 1.3], 1.6e+02 [ 1.2e+02- 2.2e+02],-0.08860895213804124,0.5321901790157574
PF ratio,MMI, 1.6e+02 [ 1.2e+02- 2.2e+02], 0.31 [-0.24- 1.3],-0.08860895213804124,0.5321901790157574
Simpson (E),Age, 0.28 [ 0.24- 0.4], 67 [ 54- 76],-0.0853393665158371,0.5515601066557636
Age,Simpson (E), 67 [ 54- 76], 0.28 [ 0.24- 0.4],-0.0853393665158371,0.5515601066557636
Age,Shannon (D), 67 [ 54- 76], 5.8 [ 4.7- 6.2],-0.08470588235294117,0.5545284423278491
Shannon (D),Age, 5.8 [ 4.7- 6.2], 67 [ 54- 76],-0.08470588235294117,0.5545284423278491
APACHE II score,Fisher (D), 27 [ 21- 32], 17 [ 11- 23],-0.08319559171770224,0.5616356412457794
Fisher (D),APACHE II score, 17 [ 11- 23], 27 [ 21- 32],-0.08319559171770224,0.5616356412457794
APACHE II score,ACE (R), 27 [ 21- 32], 1e+02 [ 76- 1.3e+02],-0.07748297888041043,0.5888972126177534
ACE (R),APACHE II score, 1e+02 [ 76- 1.3e+02], 27 [ 21- 32],-0.07748297888041043,0.5888972126177534
Simpson (E),Fisher (D), 0.28 [ 0.24- 0.4], 17 [ 11- 23],0.07619909502262445,0.5951045770814493
Fisher (D),Simpson (E), 17 [ 11- 23], 0.28 [ 0.24- 0.4],0.07619909502262445,0.5951045770814493
Pielou (E),Death-free days, 0.84 [ 0.77- 0.89], 24 [ 11- 3.6e+02],-0.0743205459616397,0.6042388016886856
Death-free days,Pielou (E), 24 [ 11- 3.6e+02], 0.84 [ 0.77- 0.89],-0.0743205459616397,0.6042388016886856
Chao1 (R),APACHE II score, 1e+02 [ 76- 1.3e+02], 27 [ 21- 32],-0.07399361178461826,0.6058346907367507
APACHE II score,Chao1 (R), 27 [ 21- 32], 1e+02 [ 76- 1.3e+02],-0.07399361178461826,0.6058346907367507
ICU-free days,Simpson (E), 5 [ 0- 19], 0.28 [ 0.24- 0.4],-0.0696429454305285,0.6272433196104712
Simpson (E),ICU-free days, 0.28 [ 0.24- 0.4], 5 [ 0- 19],-0.0696429454305285,0.6272433196104712
Death-free days,Dominance, 24 [ 11- 3.6e+02], 0.032 [ 0.021- 0.06],0.0686493166082592,0.6321765630018688
Death-free days,Simpson (D), 24 [ 11- 3.6e+02], 32 [ 17- 49],-0.0686493166082592,0.6321765630018688
Dominance,Death-free days, 0.032 [ 0.021- 0.06], 24 [ 11- 3.6e+02],0.0686493166082592,0.6321765630018688
Simpson (D),Death-free days, 32 [ 17- 49], 24 [ 11- 3.6e+02],-0.0686493166082592,0.6321765630018688
Simpson (D),MMI, 32 [ 17- 49], 0.31 [-0.24- 1.3],-0.06434389140271493,0.653734006399508
MMI,Simpson (D), 0.31 [-0.24- 1.3], 32 [ 17- 49],-0.06434389140271493,0.653734006399508
MMI,Dominance, 0.31 [-0.24- 1.3], 0.032 [ 0.021- 0.06],0.06434389140271493,0.653734006399508
Dominance,MMI, 0.032 [ 0.021- 0.06], 0.31 [-0.24- 1.3],0.06434389140271493,0.653734006399508
Simpson (E),Chao1 (R), 0.28 [ 0.24- 0.4], 1e+02 [ 76- 1.3e+02],0.057829362670064784,0.6868867860558465
Chao1 (R),Simpson (E), 1e+02 [ 76- 1.3e+02], 0.28 [ 0.24- 0.4],0.057829362670064784,0.6868867860558465
Simpson (E),ACE (R), 0.28 [ 0.24- 0.4], 1e+02 [ 76- 1.3e+02],0.05701357466063349,0.6910814047212407
ACE (R),Simpson (E), 1e+02 [ 76- 1.3e+02], 0.28 [ 0.24- 0.4],0.05701357466063349,0.6910814047212407
Shannon (D),ICU-free days, 5.8 [ 4.7- 6.2], 5 [ 0- 19],-0.05474281156578095,0.7028053552453264
ICU-free days,Shannon (D), 5 [ 0- 19], 5.8 [ 4.7- 6.2],-0.05474281156578095,0.7028053552453264
MMI,Fisher (D), 0.31 [-0.24- 1.3], 17 [ 11- 23],-0.052669683257918556,0.7135691489456967
Fisher (D),MMI, 17 [ 11- 23], 0.31 [-0.24- 1.3],-0.052669683257918556,0.7135691489456967
Age,Ventilator-free days, 67 [ 54- 76], 6.5 [ 0.75- 21],0.051714213317061566,0.7157870325665256
Ventilator-free days,Age, 6.5 [ 0.75- 21], 67 [ 54- 76],0.051714213317061566,0.7157870325665256
ICU-free days,Chao1 (R), 5 [ 0- 19], 1e+02 [ 76- 1.3e+02],-0.050026346153927315,0.7273737898249764
Chao1 (R),ICU-free days, 1e+02 [ 76- 1.3e+02], 5 [ 0- 19],-0.050026346153927315,0.7273737898249764
MMI,Age, 0.31 [-0.24- 1.3], 67 [ 54- 76],0.04823700162212925,0.7341697934643628
Age,MMI, 67 [ 54- 76], 0.31 [-0.24- 1.3],0.04823700162212925,0.7341697934643628
Age,ICU-free days, 67 [ 54- 76], 5 [ 0- 19],-0.04666642237570094,0.7425222831412639
ICU-free days,Age, 5 [ 0- 19], 67 [ 54- 76],-0.04666642237570094,0.7425222831412639
ACE (R),ICU-free days, 1e+02 [ 76- 1.3e+02], 5 [ 0- 19],-0.04684901023931595,0.7440810236333444
ICU-free days,ACE (R), 5 [ 0- 19], 1e+02 [ 76- 1.3e+02],-0.04684901023931595,0.7440810236333444
Age,Pielou (E), 67 [ 54- 76], 0.84 [ 0.77- 0.89],-0.04588235294117647,0.7491876045467283
Pielou (E),Age, 0.84 [ 0.77- 0.89], 67 [ 54- 76],-0.04588235294117647,0.7491876045467283
ACE (R),MMI, 1e+02 [ 76- 1.3e+02], 0.31 [-0.24- 1.3],-0.04570135746606335,0.7501449462047884
MMI,ACE (R), 0.31 [-0.24- 1.3], 1e+02 [ 76- 1.3e+02],-0.04570135746606335,0.7501449462047884
ICU-free days,Fisher (D), 5 [ 0- 19], 17 [ 11- 23],-0.04516749043012814,0.7529709037301715
Fisher (D),ICU-free days, 17 [ 11- 23], 5 [ 0- 19],-0.04516749043012814,0.7529709037301715
Pielou (E),PF ratio, 0.84 [ 0.77- 0.89], 1.6e+02 [ 1.2e+02- 2.2e+02],0.0422334413263924,0.7685583132954557
PF ratio,Pielou (E), 1.6e+02 [ 1.2e+02- 2.2e+02], 0.84 [ 0.77- 0.89],0.0422334413263924,0.7685583132954557
Chao1 (R),MMI, 1e+02 [ 76- 1.3e+02], 0.31 [-0.24- 1.3],-0.041403651676924315,0.7729834459633169
MMI,Chao1 (R), 0.31 [-0.24- 1.3], 1e+02 [ 76- 1.3e+02],-0.041403651676924315,0.7729834459633169
Death-free days,Shannon (D), 24 [ 11- 3.6e+02], 5.8 [ 4.7- 6.2],-0.040201698400173104,0.7794059345847612
Shannon (D),Death-free days, 5.8 [ 4.7- 6.2], 24 [ 11- 3.6e+02],-0.040201698400173104,0.7794059345847612
ICU-free days,Pielou (E), 5 [ 0- 19], 0.84 [ 0.77- 0.89],-0.03942229774873646,0.7835784080465025
Pielou (E),ICU-free days, 0.84 [ 0.77- 0.89], 5 [ 0- 19],-0.03942229774873646,0.7835784080465025
PF ratio,Death-free days, 1.6e+02 [ 1.2e+02- 2.2e+02], 24 [ 11- 3.6e+02],0.02542932377939782,0.8579811261650995
Death-free days,PF ratio, 24 [ 11- 3.6e+02], 1.6e+02 [ 1.2e+02- 2.2e+02],0.02542932377939782,0.8579811261650995
ACE (R),Death-free days, 1e+02 [ 76- 1.3e+02], 24 [ 11- 3.6e+02],0.023782574707724703,0.8684289847366451
Death-free days,ACE (R), 24 [ 11- 3.6e+02], 1e+02 [ 76- 1.3e+02],0.023782574707724703,0.8684289847366451
Death-free days,Fisher (D), 24 [ 11- 3.6e+02], 17 [ 11- 23],0.020352395663341332,0.8872723400270399
Fisher (D),Death-free days, 17 [ 11- 23], 24 [ 11- 3.6e+02],0.020352395663341332,0.8872723400270399
Chao1 (R),Death-free days, 1e+02 [ 76- 1.3e+02], 24 [ 11- 3.6e+02],0.0182260970156245,0.8989847124446066
Death-free days,Chao1 (R), 24 [ 11- 3.6e+02], 1e+02 [ 76- 1.3e+02],0.0182260970156245,0.8989847124446066
