model,model LL,model AIC,Concordance,variable,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
Gender+ARDS+mmi,-96.47178644701755,198.9435728940351,0.7292870905587668,Gender,0.6014062742945364,0.3210111708413707,1.126719378060416,0.11240404647175523
Gender+ARDS+mmi,-96.47178644701755,198.9435728940351,0.7292870905587668,ARDS,2.0096043045435312,1.0313223253504846,3.9158557529213214,0.040307980919880325
APACHE+Sepsis3+M,-96.49302956827631,198.98605913655263,0.7316955684007708,APACHE,1.068741711766088,1.022981298570775,1.116549098272381,0.0029051054650843385
APACHE+Sepsis3+M,-96.49302956827631,198.98605913655263,0.7316955684007708,M,2.5341350978860313,1.3818857200936365,4.6471575767515,0.002652425331373897
APACHE+Sepsis3+M,-96.49302956827631,198.98605913655263,0.7316955684007708,Sepsis3,0.8354273620085998,0.3779809136032242,1.846492381161054,0.6567795816650396
APACHE+immunosuppressed+M,-96.49308436359351,198.98616872718702,0.7307321772639692,immunosuppressed,1.165817892161497,0.6047826931479253,2.247305309961048,0.6468278281738853
APACHE+immunosuppressed+M,-96.49308436359351,198.98616872718702,0.7307321772639692,APACHE,1.064707523941932,1.0216972017434693,1.1095284489417516,0.0028802475429725587
APACHE+immunosuppressed+M,-96.49308436359351,198.98616872718702,0.7307321772639692,M,2.5256379039016017,1.3785829336777589,4.627104155864677,0.002705928515388479
APACHE+Cipro+M,-96.56444769146535,199.1288953829307,0.7273603082851637,APACHE,1.064284929123027,1.0190394683388226,1.1115392931785757,0.004940685123357524
APACHE+Cipro+M,-96.56444769146535,199.1288953829307,0.7273603082851637,M,2.538253947798374,1.3827830452921128,4.6592508676247215,0.002648793112132534
APACHE+Cipro+M,-96.56444769146535,199.1288953829307,0.7273603082851637,Cipro,1.0764173952030087,0.48612552068449744,2.3834881309340408,0.8559265397814444
APACHE+malignancy+M,-96.57908889776783,199.15817779553566,0.7239884393063584,malignancy,1.0000174969265085,0.9995885598925146,1.0004466180232123,0.93629042015915
APACHE+malignancy+M,-96.57908889776783,199.15817779553566,0.7239884393063584,M,2.522382746106933,1.3725816868281808,4.63536325663829,0.0028824069839491514
APACHE+malignancy+M,-96.57908889776783,199.15817779553566,0.7239884393063584,APACHE,1.0648197048553418,1.021164560262836,1.110341122253968,0.003276348311502057
APACHE+Zosyn+M,-96.57909548115815,199.1581909623163,0.7220616570327553,APACHE,1.06482000997524,1.0211669415473181,1.1103391693483755,0.003274687253404917
APACHE+Zosyn+M,-96.57909548115815,199.1581909623163,0.7220616570327553,Zosyn,1.0000055799559728,0.9999570338237627,1.000054128445011,0.8217645801024782
APACHE+Zosyn+M,-96.57909548115815,199.1581909623163,0.7220616570327553,M,2.52238183584935,1.3725856181140144,4.635346634743947,0.0028822693103448885
APACHE+Ceftriaxone+M,-96.57910195987674,199.15820391975348,0.7210982658959537,APACHE,1.064819942245753,1.0211670182374057,1.1103389447118315,0.0032746157300622986
APACHE+Ceftriaxone+M,-96.57910195987674,199.15820391975348,0.7210982658959537,Ceftriaxone,0.9999919763072695,0.9999179737105135,1.0000659843808593,0.8317174840139399
APACHE+Ceftriaxone+M,-96.57910195987674,199.15820391975348,0.7210982658959537,M,2.5223827284423024,1.3725912577616453,4.63533086981739,0.0028820855652125074
APACHE+diabetes+M,-96.57910678665984,199.15821357331967,0.7215799614643545,diabetes,0.9999917308141079,0.9998881245044844,1.0000953478591998,0.8756996839392555
APACHE+diabetes+M,-96.57910678665984,199.15821357331967,0.7215799614643545,M,2.5223913106373437,1.372596792468292,4.635343721397887,0.002881953433732592
APACHE+diabetes+M,-96.57910678665984,199.15821357331967,0.7215799614643545,APACHE,1.064820134271274,1.0211673064788698,1.1103390317685964,0.0032744507837239602
