Holdemanella,Firmicutes
[Ruminococcus] gauvreauii group,Firmicutes
UCG-005,Firmicutes
Murimonas,Firmicutes
Actinobacteriota,Actinobacteriota
Lachnospiraceae UCG-010,Firmicutes
Christensenellaceae R-7 group,Firmicutes
Erysipelotrichaceae UCG-003,Firmicutes
Lachnospira,Firmicutes
Mucilaginibacter,Bacteroidetes
Comamonas,Proteobacteria
Eggerthella,Actinobacteriota
Methylobacterium-Methylorubrum,Proteobacteria
Exiguobacterium,Firmicutes
Hydrogenoanaerobacterium,Firmicutes
Peptococcus,Firmicutes
Weissella,Firmicutes
Chryseobacterium,Bacteroidetes
Defluviitaleaceae UCG-011,Firmicutes
GCA-900066575,Firmicutes
Coprococcus,Firmicutes
Eubacterium,Firmicutes
[Eubacterium] siraeum group,Firmicutes
Arenimonas,Proteobacteria
Lawsonella,Actinobacteriota
GCA-900066755,Firmicutes
Fluviicola,Bacteroidetes
Deinococcus,Deinococcota
Sphingomonas,Proteobacteria
DMER64,Bacteroidetes
UCG-004,Firmicutes
Butyricicoccus,Firmicutes
S5-A14a,Firmicutes
Succinivibrio,Proteobacteria
Arcicella,Bacteroidetes
Mobiluncus,Actinobacteriota
[Eubacterium] oxidoreducens group,Firmicutes
Undibacterium,Proteobacteria
Limnohabitans,Proteobacteria
Granulicella,Acidobacteriota
Paludicola,Firmicutes
Methanosarcina,Halobacterota
Peptoclostridium,Firmicutes
Achromobacter,Proteobacteria
Catenibacterium,Firmicutes
Oscillospira,Firmicutes
Cellvibrio,Proteobacteria
Macrococcus,Firmicutes
Holdemania,Firmicutes
Acetanaerobacterium,Firmicutes
Alloprevotella,Bacteroidetes
Harryflintia,Firmicutes
Bacillus,Firmicutes
1174-901-12,Proteobacteria
Sporichthya,Actinobacteriota
Acidobacteriota,Acidobacteriota
Rhodoferax,Proteobacteria
Myxococcota,Myxococcota
Leptotrichia,Fusobacteriota
Rhodococcus,Actinobacteriota
Anoxybacillus,Firmicutes
Pseudarcicella,Bacteroidetes
Terrisporobacter,Firmicutes
Allisonella,Firmicutes
Blautia,Firmicutes
Bdellovibrionota,Bdellovibrionota
Lachnospiraceae NK4A136 group,Firmicutes
Chryseolinea,Bacteroidetes
Rhodovarius,Proteobacteria
[Eubacterium] ventriosum group,Firmicutes
Christensenella,Firmicutes
Succiniclasticum,Firmicutes
Clostridioides,Firmicutes
Pirellula,Planctomycetota
Pyramidobacter,Synergistota
Anaerofustis,Firmicutes
Lachnospiraceae ND3007 group,Firmicutes
Clostridium sensu stricto 9,Firmicutes
Desemzia,Firmicutes
Paeniglutamicibacter,Actinobacteriota
Gallicola,Firmicutes
Fusobacteriota,Fusobacteriota
Luteolibacter,Verrucomicrobiota
UCG-003,Firmicutes
Pseudoflavonifractor,Firmicutes
UCG-009,Firmicutes
Massilia,Proteobacteria
[Eubacterium] fissicatena group,Firmicutes
Methanobrevibacter,Euryarchaeota
Paraprevotella,Bacteroidetes
Anaerobiospirillum,Proteobacteria
Providencia,Proteobacteria
Lachnospiraceae UCG-004,Firmicutes
Rhodoplanes,Proteobacteria
OM60(NOR5) clade,Proteobacteria
Candidatus Soleaferrea,Firmicutes
Thermus,Deinococcota
[Eubacterium] nodatum group,Firmicutes
Kocuria,Actinobacteriota
Varibaculum,Actinobacteriota
Collinsella,Actinobacteriota
Actinomycetospora,Actinobacteriota
Aurantisolimonas,Bacteroidetes
Papillibacter,Firmicutes
Verrucomicrobiota,Verrucomicrobiota
Epulopiscium,Firmicutes
Nesterenkonia,Actinobacteriota
Anaeroglobus,Firmicutes
Howardella,Firmicutes
Salinispira,Spirochaetota
Catabacter,Firmicutes
Gordonibacter,Actinobacteriota
Synergistes,Synergistota
Proteus,Proteobacteria
Sediminibacterium,Bacteroidetes
Zoogloea,Proteobacteria
Nakamurella,Actinobacteriota
Mogibacterium,Firmicutes
Actinomyces,Actinobacteriota
Roseburia,Firmicutes
Anaerofilum,Firmicutes
Phocea,Firmicutes
Sphingorhabdus,Proteobacteria
Catenibacillus,Firmicutes
Jonquetella,Synergistota
Agromyces,Actinobacteriota
Merdibacter,Firmicutes
Family XIII UCG-001,Firmicutes
Lachnospiraceae XPB1014 group,Firmicutes
CL500-29 marine group,Actinobacteriota
Prosthecobacter,Verrucomicrobiota
Iamia,Actinobacteriota
Turicibacter,Firmicutes
Lachnospiraceae FCS020 group,Firmicutes
Candidatus Stoquefichus,Firmicutes
Desulfobacterota,Desulfobacterota
Sulfurospirillum,Campilobacterota
Prevotellaceae NK3B31 group,Bacteroidetes
Megamonas,Firmicutes
Victivallis,Verrucomicrobiota
Senegalimassilia,Actinobacteriota
Methanomassiliicoccus,Thermoplasmatota
Sanguibacteroides,Bacteroidetes
Polynucleobacter,Proteobacteria
